Account Name,Date Range,Results,Cost per Result,Reach,Impressions,Frequency,CPM,Amount Spent,Clicks (All),CPC (All),CTR (All),Link Clicks,CPC (Link Click),CTR (Link),Landing Page Views,Cost per LP View,Initiate Checkout,Cost per IC,Add Payment Info,Cost per API,Purchases,Purchase Conv Value,Cost per Purchase,Purchase ROAS,Website Purchases,Website Purchase Value
Brez Marketing,Yesterday (2026-01-01),116,$15.96,"139,818","229,229",1.64,$8.07,"$1,850.80","5,143",$0.36,2.24%,"2,687",$0.69,1.17%,"2,308",$0.80,182,$10.17,67,$27.62,116,"$4,217.86",$15.96,2.28x,116,"$4,217.86"
Brez Marketing,Last 3 Days (Dec 30 - Jan 1),241,$15.12,"175,472","422,763",2.41,$8.62,"$3,644.71","10,231",$0.36,2.42%,"5,540",$0.66,1.31%,"4,714",$0.77,358,$10.18,131,$27.82,241,"$9,095.86",$15.12,2.50x,241,"$9,095.86"
Brez Marketing,Last 7 Days (Dec 26 - Jan 1),241,$15.12,"175,472","422,763",2.41,$8.62,"$3,644.71","10,231",$0.36,2.42%,"5,540",$0.66,1.31%,"4,714",$0.77,358,$10.18,131,$27.82,241,"$9,095.86",$15.12,2.50x,241,"$9,095.86"
